Регион,Disabled_31_60
Алтайский край,434568.73
Амурская область,348660.59
Архангельская область,354468.23
Астраханская область,334623.59
Белгородская область,444265.82
Брянская область,384930.09
Владимирская область,386048.59
Волгоградская область,447658.41
Вологодская область,364096.95
Воронежская область,478965.55
Город Москва,975683.59
Город Санкт-Петербург,581833.64
Город Севастополь,306981.86
Еврейская автономная область,299954.45
Забайкальский край,363185.36
Ивановская область,350638.14
Иркутская область,499434.23
Кабардино-Балкарская Республика,359477.32
Калининградская область,345961.45
Калужская область,353574.41
Камчатский край,301818.86
Карачаево-Черкесская Республика,358120.0
Кемеровская область,498287.91
Кировская область,372766.95
Костромская область,339425.09
Краснодарский край,668892.09
Красноярский край,469038.73
Курганская область,352098.27
Курская область,418276.68
Ленинградская область,390812.45
Липецкая область,390416.77
Магаданская область,294246.14
Московская область,638580.05
Мурманская область,315477.05
Ненецкий автономный округ,290876.36
Нижегородская область,490053.0
Новгородская область,334987.27
Новосибирская область,458275.45
Омская область,408978.05
Оренбургская область,434338.91
Орловская область,341264.55
Пензенская область,369554.45
Пермский край,448358.5
Приморский край,392786.59
Псковская область,332078.55
Республика Адыгея,323549.27
Республика Алтай,308611.59
Республика Башкортостан,502649.18
Республика Бурятия,366961.73
Республика Дагестан,779154.45
Республика Ингушетия,384191.86
Республика Калмыкия,312685.09
Республика Карелия,330086.09
Республика Коми,350998.59
Республика Крым,435974.59
Республика Марий Эл,340587.73
Республика Мордовия,350840.23
Республика Саха (Якутия),353896.73
Республика Северная Осетия-Алания,353471.41
Республика Татарстан,552175.73
Республика Тыва,321140.55
Республика Хакасия,316645.05
Ростовская область,698892.82
Рязанская область,389298.82
Самарская область,490602.73
Саратовская область,420781.09
Сахалинская область,310526.64
Свердловская область,536046.27
Смоленская область,357816.64
Ставропольский край,505770.77
Тамбовская область,383127.32
Тверская область,372920.59
Томская область,349219.14
Тульская область,422340.82
Тюменская область,371419.18
Удмуртская Республика,384908.95
Ульяновская область,388334.86
Хабаровский край,350131.0
Ханты-Мансийский автономный округ - Югра,351824.55
Челябинская область,476175.09
Чеченская Республика,591551.05
Чувашская Республика,359311.45
Чукотский автономный округ,290518.18
Ямало-Ненецкий автономный округ,305609.59
Ярославская область,361588.23
