index,Регион,Child_mortality_rural,Child_mortality_urban,Disabled_18_30,Disabled_31_60,Disabled_61_,Disabled_total,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Welfare,Cash_income,Socdem_deti,Socdem_pens,Socdem_trud,Housing_live,Population,GRP,Reg_prod_manufactor,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Newborn,Сrimes_drug,Сrimes_total
21,Архангельская область,35.75,72.41,46655.18,354468.23,708535.82,1142382.68,2585.9300000000003,2317.27,19127.44,18.82,17.77,31840.0,34.0,7.45,58.55,16.9,1175781.27,194131.47,271351808.41,29868057.62,509357683.44,88427.77,102.04,7.32,7421.27,4139.32,11056.05
22,Вологодская область,40.09,81.5,46311.91,364096.95,728563.73,1171696.05,2580.91,1615.48,46707.29,16.46,18.8,27058.5,39.33,5.58,55.08,16.9,1208531.55,276481.36,514658728.73,518182.34,916278994.08,88530.82,104.37,9.49,13638.41,4265.05,11380.5
23,Калининградская область,18.91,58.91,45847.32,345961.45,673640.55,1098172.77,2580.42,1625.9,41988.48,18.15,14.81,27261.17,34.15,9.4,56.42,15.6,965103.23,251598.53,406917510.64,15939068.3,765656950.41,100728.59,103.05,8.94,11093.04,3528.91,9520.82
24,Ленинградская область,32.41,60.82,49772.68,390812.45,806576.36,1279884.95,2580.68,1578.3,31081.42,18.45,16.51,30088.17,22.45,7.02,45.25,17.0,1750159.36,318878.89,755268781.78,12510740.66,1504009792.2,119200.45,100.92,14.46,13938.14,3744.68,10046.64
25,Мурманская область,4.64,63.05,42504.41,315477.05,596229.36,986934.27,2589.53,1613.65,45301.55,14.93,17.97,40922.5,40.35,3.82,55.75,17.7,802375.5,371413.6,219445492.2,102883282.29,655838338.05,135377.45,112.86,18.89,9352.23,3477.41,9417.23
26,Новгородская область,18.64,34.95,43732.86,334987.27,656975.59,1068419.18,2597.6,1559.12,47742.58,18.76,18.15,25706.0,33.32,7.25,59.4,17.6,639126.32,241465.87,156260812.52,1161746.86,286688896.94,107421.77,135.75,11.55,8087.41,3506.68,9316.27
27,Псковская область,22.32,40.18,44277.5,332078.55,630923.5,1040003.0,2593.79,1572.96,36424.72,19.69,17.93,23780.17,34.95,7.08,57.92,15.0,682433.41,159053.14,81745838.55,1268286.52,161076756.35,102377.82,134.1,10.53,8058.5,3435.73,9199.41
28,Город Санкт-Петербург,28.16,252.36,74012.0,581833.64,1793624.68,2482193.77,2583.11,1527.05,47413.31,11.44,16.4,43499.0,22.9,3.62,48.2,15.7,4994190.86,421542.81,1951831590.0,17450008.24,3587516978.88,152576.77,71.35,15.12,45606.72,4300.55,12722.68
29,Республика Адыгея,19.45,19.64,42317.86,323549.27,601605.45,1000196.05,2585.9300000000003,2227.56,13357.36,21.63,17.45,26924.67,40.08,9.6,50.35,19.6,447977.0,141412.08,36092263.32,2228375.6,70915279.72,109737.41,110.62,17.04,7042.5,3133.73,8266.0
30,Республика Калмыкия,19.27,14.91,43234.0,312685.09,579085.05,967727.59,2573.97,4057.73,48491.3,38.44,18.05,17105.67,27.02,1.95,46.03,20.2,285271.68,145648.68,845651.55,1388639.78,6992547.88,42670.09,97.53,10.31,5976.77,3131.86,8158.0
31,Республика Крым,50.43,74.0,52798.55,435974.59,725214.36,1246710.95,2585.9300000000003,2237.78,11082.44,20.23,15.68,20024.17,43.88,5.25,50.87,19.0,1472090.68,83488.91,72303511.29,9973376.28,193956605.9,84756.5,114.47,11.91,9852.59,3707.86,10442.55
32,Краснодарский край,197.73,210.82,88251.23,668892.09,1260884.18,2050750.95,2588.14,3952.08,42823.3,18.7,17.9,34074.5,40.88,8.02,51.1,18.1,5343319.36,235808.61,694710192.54,33646054.52,1419393687.4,137914.77,93.31,14.79,50338.72,4829.73,15733.55
33,Астраханская область,40.09,79.14,45949.18,334623.59,615049.18,1028345.41,2584.38,4295.28,48923.990000000005,17.65,18.96,23899.5,40.17,4.9,54.9,19.2,1009152.18,231338.15,55470177.45,172105283.13,448664923.44,102558.32,106.82,8.82,13033.59,3684.45,10104.86
