Регион,Child_mortality_rural,Disabled_31_60,Disabled_61_,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Cash_income,Socdem_pens,Socdem_trud,GRP,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Сrimes_total
Самарская область,51.73,490602.73,900128.36,2593.9,1654.08,51631.23,16.86,28243.0,5.88,54.5,269489.11,79782683.97,2007810309.93,132992.23,103.91,15.15,14623.32
Ярославская область,23.0,361588.23,748178.5,2592.03,1545.52,49311.7,14.73,27634.67,5.28,58.42,240969.7,1143112.3,552575658.74,102977.18,116.0,9.68,10095.05
Тульская область,27.55,422340.82,801581.95,2594.16,1557.38,39375.25,14.45,27441.83,3.6,56.47,214493.08,4941156.74,974466682.76,106610.68,117.55,8.26,9706.68
Томская область,39.68,349219.14,644873.73,2589.64,1724.45,38877.09,16.75,27370.5,4.5,55.3,304223.27,79782683.97,525877518.56,89622.91,97.26,12.47,10840.86
Калининградская область,18.91,345961.45,673640.55,2580.42,1625.9,41988.48,18.15,27261.17,9.4,56.42,251598.53,15939068.3,765656950.41,100728.59,103.05,8.94,9520.82
Курская область,33.0,418276.68,729834.09,2587.11,1589.39,32008.34,16.55,27167.83,7.02,54.88,212272.59,64847184.56,441120044.07,104151.41,129.91,14.18,10036.64
Вологодская область,40.09,364096.95,728563.73,2580.91,1615.48,46707.29,16.46,27058.5,5.58,55.08,276481.36,518182.34,916278994.08,88530.82,104.37,9.49,11380.5
Республика Адыгея,19.45,323549.27,601605.45,2585.9300000000003,1912.45,29806.02,21.63,26924.67,9.6,50.35,141412.08,2228375.6,70915279.72,109737.41,110.62,17.04,8266.0
Город Севастополь,31.84,306981.86,584379.41,2585.9300000000003,1912.45,29806.02,18.12,26865.83,4.9,53.82,90104.0,457727.27,33320316.38,88431.73,116.91,13.04,8165.41
Республика Дагестан,98.23,591551.05,769385.77,2573.65,1912.45,56744.100000000006,22.5,26623.33,6.52,53.55,127962.83,3930094.78,88673195.1,110395.18,71.54,12.92,9335.36
Тамбовская область,28.91,383127.32,745102.05,2588.96,1566.83,37976.85,15.8,26593.83,5.55,59.6,183498.42,171335.02,225048611.76,107379.0,106.96,6.15,9944.55
Брянская область,42.09,384930.09,733906.64,2595.53,1564.57,43703.95,18.6,26015.5,3.88,54.78,159780.83,286919.94,309754960.41,109399.95,145.76,12.36,10100.14
Омская область,77.14,408978.05,756332.27,2591.51,1545.28,46980.78,16.92,25742.5,5.55,52.82,221601.39,3504042.6,1223084586.17,104224.27,87.26,10.66,12327.18
Новгородская область,18.64,334987.27,656975.59,2597.6,1559.12,47742.58,18.76,25706.0,7.25,59.4,241465.87,1161746.86,286688896.94,107421.77,135.75,11.55,9316.27
Смоленская область,28.23,357816.64,676430.82,2586.5,1525.47,41186.91,18.42,25576.83,10.2,55.08,189584.82,1462056.87,352562191.71,103980.36,133.81,13.19,9726.41
Тверская область,35.91,372920.59,719803.14,2590.25,1752.69,45424.94,19.11,25350.83,7.38,55.1,193550.82,897533.7,515595956.76,104100.45,113.56,8.65,10133.77
Рязанская область,27.77,389298.82,795192.0,2596.77,1569.88,37149.47,19.24,25233.33,7.08,58.35,199314.9,1585566.4,447521744.29,97543.86,108.75,12.83,9233.86
Еврейская автономная область,12.86,299954.45,570977.18,2597.6,1600.66,36160.83,26.86,24975.5,9.65,56.22,197632.16,6365494.34,27048151.26,88365.09,150.02,22.19,8055.5
Челябинская область,91.91,476175.09,930983.05,2586.46,1752.72,45573.26,15.75,24744.83,3.25,54.55,233461.96,60005566.74,2158960613.29,101583.0,118.1,21.13,16695.91
Ивановская область,15.36,350638.14,693232.23,2593.44,1708.6,48225.12,28.82,24567.83,7.52,54.38,131491.97,826638.43,240392889.42,88192.55,136.98,10.3,9632.55
Орловская область,29.14,341264.55,657175.55,2596.36,1678.52,47903.12,19.1,24481.83,6.72,54.42,183550.51,175091.84,172569219.16,96507.59,120.33,6.12,8783.77
Республика Бурятия,71.0,366961.73,661033.36,2577.39,1458.5,34884.22,25.64,24480.33,4.95,51.58,162119.78,23845420.35,175445971.18,103175.82,84.61,7.4,11876.14
Удмуртская Республика,58.73,384908.95,723931.68,2581.33,1581.69,49953.68,17.91,24368.83,6.28,50.78,229485.04,79782683.97,779627041.56,86086.36,111.78,10.15,12485.73
Иркутская область,98.23,499434.23,869102.5,2582.97,1604.26,48541.6,21.5,24346.83,6.08,54.42,287199.5,79782683.97,1452436652.44,90223.41,147.82,22.19,15290.32
Костромская область,23.77,339425.09,655427.09,2585.76,1550.77,40522.48,19.84,23997.83,5.43,52.15,172583.59,487703.63,225744580.52,87367.36,108.7,10.81,9220.68
Забайкальский край,54.14,363185.36,676159.09,2576.66,1609.67,37505.33,26.11,23932.67,7.85,54.85,179869.84,79782683.97,222698594.26,90280.5,123.09,8.87,12609.32
Владимирская область,27.95,386048.59,780816.45,2588.23,1613.43,50096.0,21.38,23908.33,6.6,53.65,188789.51,3491435.93,644476858.26,87961.45,117.6,10.19,10536.09
Астраханская область,40.09,334623.59,615049.18,2584.38,1912.45,48923.990000000005,17.65,23899.5,4.9,54.9,231338.15,79782683.97,448664923.44,102558.32,106.82,8.82,10104.86
Псковская область,22.32,332078.55,630923.5,2593.79,1572.96,36424.72,19.69,23780.17,7.08,57.92,159053.14,1268286.52,161076756.35,102377.82,134.1,10.53,9199.41
Оренбургская область,98.23,434338.91,899494.45,2590.24,1789.08,45251.83,19.06,23430.83,5.25,51.88,270771.92,79782683.97,1155691762.12,88219.14,129.31,8.59,12752.68
Чеченская Республика,37.95,591551.05,620396.27,2573.65,1912.45,35140.399999999994,13.2,23330.5,6.65,47.32,88879.9,4971206.78,44971576.67,57404.73,65.81,9.51,7877.95
Ульяновская область,32.41,388334.86,740337.68,2591.19,1552.95,48902.78,22.03,23282.83,4.9,59.53,175929.4,8839464.86,405387703.26,87984.55,134.26,14.82,10066.41
Кемеровская область,54.18,498287.91,909711.59,2585.1,1689.8,44490.11,15.05,23141.67,5.03,52.98,232071.69,79782683.97,2063695522.04,94027.95,101.33,22.19,14405.18
Республика Северная Осетия-Алания,30.68,353471.41,648055.91,2580.68,1623.43,33396.7,17.52,23077.5,9.4,55.92,135904.27,539575.07,43768447.33,88782.23,86.92,9.24,9322.27
Волгоградская область,80.27,447658.41,843968.91,2589.84,1912.45,48317.08,16.45,22899.0,6.22,54.3,202620.32,42309047.13,1210650939.86,91871.14,105.92,12.39,12842.64
Ставропольский край,98.23,505770.77,876811.05,2582.63,1912.45,39456.65,21.38,22733.17,4.47,56.4,155469.92,8977820.22,494173192.83,106453.32,81.12,12.82,11823.14
Алтайский край,98.23,434568.73,849579.23,2592.75,1912.45,56336.62,24.25,22480.83,6.15,56.3,149372.69,5418837.75,503119821.9,87268.23,138.55,20.61,15789.64
Кировская область,36.36,372766.95,788519.86,2589.08,1632.48,41381.17,20.78,22453.33,5.05,56.82,157125.08,1180634.58,352815456.28,84770.32,113.7,6.41,11670.95
Пензенская область,34.86,369554.45,720777.86,2592.68,1829.21,42268.77,20.8,22056.0,9.5,53.25,168953.62,1168557.79,308484095.68,90187.14,149.46,10.71,10118.0
